,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god
69,gambia,0.217,0.0596,0.0,-19.659,1.0,0.0389,0.95,0.971,0.162,0.485,80.489,audio_features,0Mz1hdObfCn0cJvaGTrmJ4,spotify:track:0Mz1hdObfCn0cJvaGTrmJ4,https://api.spotify.com/v1/tracks/0Mz1hdObfCn0cJvaGTrmJ4,https://api.spotify.com/v1/audio-analysis/0Mz1hdObfCn0cJvaGTrmJ4,70920.0,1.0,,0Mz1hdObfCn0cJvaGTrmJ4,"Gambia: ""For the Gambia, our homeland…""",Gambia,gambia,,,,,,,Gambia,GM,GMB,Africa,"For The Gambia, our homeland We strive and work and pray, That all may live in unity, Freedom and peace each day. Let justice guide our actions Towards the common good, And join our diverse peoples To prove man's brotherhood. We pledge our firm allegiance, Our promise we renew; Keep us, great God of nations, To The Gambia ever true.",gambia,present
70,georgia,0.275,0.33,10.0,-14.708,1.0,0.0311,0.357,0.946,0.329,0.748,89.13,audio_features,0WMo7Rp6S4ugWPb7aGDQhq,spotify:track:0WMo7Rp6S4ugWPb7aGDQhq,https://api.spotify.com/v1/tracks/0WMo7Rp6S4ugWPb7aGDQhq,https://api.spotify.com/v1/audio-analysis/0WMo7Rp6S4ugWPb7aGDQhq,72867.0,4.0,,0WMo7Rp6S4ugWPb7aGDQhq,"Georgia: Tavisupleba (Liberty), ""My icon is my motherland…"" [2004 onwards] [short version]",Georgia,georgia,#FFFFFF,#FF0000,#FF8E8E,#FF2E2E,#FFD4D4,,Georgia,GE,GEO,Europe,"My icon is my motherland, And the whole world is its icon-stand, Bright mounts and valleys Are shared with God. Today our freedom Sings to the glory of the future, The dawn star rises up And shines out between the two seas, So praise be to freedom, To freedom be praise!",georgia,present
72,ghana,0.42,0.334,8.0,-14.982,1.0,0.0284,0.79,0.877,0.108,0.857,94.715,audio_features,5QkDamosnSLX03ZC8zX7aq,spotify:track:5QkDamosnSLX03ZC8zX7aq,https://api.spotify.com/v1/tracks/5QkDamosnSLX03ZC8zX7aq,https://api.spotify.com/v1/audio-analysis/5QkDamosnSLX03ZC8zX7aq,58653.0,4.0,,5QkDamosnSLX03ZC8zX7aq,Ghana: God Bless Our Homeland Ghana (arr. P. Breiner),Ghana,ghana,#006B3F,#CE1126,#FCD116,#ED911C,#A9AF24,#8C750C,Ghana,GH,GHA,Africa,"God bless our homeland Ghana, And make our nation brave and strong, Bold to defend forever The cause of Freedom and of Right. Fill our hearts with true humility Make us cherish fearless honesty, And help us to resist oppressors' rule With all our will and might forever more . Hail to thy name, O Ghana To thee we make our solemn vow; Steadfast to build together A nation strong in Unity; With our gifts of mind and strength of arm, Whether night or day, in the midst of storm, In every need whatever the call may be, To serve thee, Ghana, now and evermore.Raise high the flag of Ghana, And one with Africa advance; Black star of hope and honor, To all who thirst for liberty;",ghana,present
77,grenada,0.29,0.164,2.0,-17.433,1.0,0.0307,0.82,0.786,0.0841,0.542,136.495,audio_features,2jT54WUuhMO1aTA6soJovF,spotify:track:2jT54WUuhMO1aTA6soJovF,https://api.spotify.com/v1/tracks/2jT54WUuhMO1aTA6soJovF,https://api.spotify.com/v1/audio-analysis/2jT54WUuhMO1aTA6soJovF,92747.0,4.0,,2jT54WUuhMO1aTA6soJovF,"Grenada: ""Hail! Grenada, land of ours…""",Grenada,grenada,#CE1126,#FCD116,#007A5E,#DD6221,#78A43C,#992C34,Grenada,GD,GRD,North_America,"Hail! Grenada, land of ours, We pledge ourselves to thee, Heads, hearts and hands in unity To reach our destiny. Ever conscious of God, Being proud of our heritage, May we with faith and courage Aspire, build, advance As one people, one family. God bless our nation.",grenada,present
82,guyana,0.233,0.18,9.0,-18.76,1.0,0.0351,0.824,0.869,0.107,0.318,66.141,audio_features,1AuqjWS43ZyPhinLacUZlP,spotify:track:1AuqjWS43ZyPhinLacUZlP,https://api.spotify.com/v1/tracks/1AuqjWS43ZyPhinLacUZlP,https://api.spotify.com/v1/audio-analysis/1AuqjWS43ZyPhinLacUZlP,66933.0,5.0,,1AuqjWS43ZyPhinLacUZlP,"Guyana: ""Dear land of Guyana of rivers and plains"" (arr. P. Breiner)",Guyana,guyana,#009E49,#CE1126,#FCD116,#FEFEFD,#46B97B,#6B5E24,Guyana,GY,GUY,South_America,"Dear land of Guyana, of rivers and plains Made rich by the sunshine, and lush by the rains, Set gem-like and fair, between mountains and seas, Your children salute you, dear land of the free. Green land of Guyana, our heroes of yore, Both bondsmen and free, laid their bones on your shore. This soil so they hallowed, and from them are we, All sons of one Mother, Guyana the free. Great land of Guyana, diverse though our strains, We're born of their sacrifice, heirs of their pains, And ours is the glory their eyes did not see, One land of six peoples, united and free. Dear land of Guyana, to you will we give, Our homage, our service, each day that we live; God guard you, great Mother, and make us to be More worthy our heritage, land of the free.",guyana,present
83,haiti,0.608,0.351,10.0,-14.247,1.0,0.0425,0.811,0.894,0.324,0.676,96.474,audio_features,5mQBReweg4IL1UzE949eu8,spotify:track:5mQBReweg4IL1UzE949eu8,https://api.spotify.com/v1/tracks/5mQBReweg4IL1UzE949eu8,https://api.spotify.com/v1/audio-analysis/5mQBReweg4IL1UzE949eu8,52560.0,4.0,,5mQBReweg4IL1UzE949eu8,"Haiti: La Dessalinienne (The Dessalines Song), ""For our country, for our forefathers…""",Haiti,haiti,#00209F,#D21034,#1D6D1F,#A56A25,#BD9B3F,#D0504D,Haiti,HT,HTI,North_America,"For Haiti, the Country of the Ancestors we must walk hand in hand There must not be traitors among us-- We alone must be our master Let's walk hand in hand that Haiti may be more beautiful Let us put our heads together for Haiti on behalf of all her ancestors For Haiti on the behalf of the Ancestors Let us mow, let us sow. All our strength rests in the soul-- It is what feeds us. Let us mound up earth, let us send water With joy, the earth must be fertile Mow, water, women and men that we may live by our own arms' strength alone. For Haiti and for the Ancestors We must be courageous, capable men. People are not born to serve others That is why all mothers and fathers Need to send children to school, to learn, to know what Toussaint, Dessalines, Christophe, Pétion did to take Haitians from under the whites' boot. For Haiti on the behalf of the Ancestors Let us raise our head and look above. Let everyone to ask the Lord to grant us protection that the evil angels may not divert us, that we may walk in the right path. For liberty to be able to liberate, justice must spread over the country! We have a flag like all peoples. Let us love it, die for it. It was not a gift from the whites-- It was our Ancestors' blood that was shed. Let us hold our flag high. Let us work together and focus that other countries may respect it This flag is the soul of every Haitian.",haiti,present
84,honduras,0.48,0.148,0.0,-16.582,1.0,0.0327,0.93,0.752,0.0806,0.448,98.378,audio_features,73jmlqes89rLnLCPsF91gn,spotify:track:73jmlqes89rLnLCPsF91gn,https://api.spotify.com/v1/tracks/73jmlqes89rLnLCPsF91gn,https://api.spotify.com/v1/audio-analysis/73jmlqes89rLnLCPsF91gn,68253.0,4.0,,73jmlqes89rLnLCPsF91gn,"Honduras: ""Like an Indian maiden you were sleeping…"" (Olympic version) [arr. P. Breiner]",Honduras,honduras,#0073CF,#FFFFFF,#AAD0EF,#55A2DF,,,Honduras,HN,HND,North_America,"Your flag, your flag is a piece of sky crossed, oh crossed by a dash of snow. And on its hallowed ground can be seen five stars of a pale blue. On your crest, that a clamorous sea shields with its roaring waves. Beyond a volcano, beyond a volcano its top bared there's a star, there's a star of radiant light.   Indian, virgin and beautiful you slept to the resounding chants of your sea, when, lying in your golden banks the bold navogator found you, and awe-struck at beholding your beauty under the perfect thrall of your charm, the blue hem of your splendid cape sanctified with his kiss of love.    Of a country where the sun rises, beyond the blue Atlantic, that man that had dreamed of you and set out to sea looking for you. When you raised your pale forehead, on the living anxiety of your longing, under the gentle dome of your sky a strange banner already floated.    It was useless that your beloved, the indian wrathfully prepared for the fight, because, his Lempirian blood wrapped around him he sunk into the depths of night. And of the epic deed, in his memory, only the legend has been kept, the place of its burial unknown to all and the stoic profile of a crag.    For three hundred your children heard the imperative call of the master, for three centuries your useless call got lost in the blue air. But one day, glory, your ear sensed that, powerful and distant, that far away, across the Atlantic, a lion roared in indignation.    It was France, the free, the heroic, that asleep in his centuries long dream, awakened, infuriated, to life at the virile call of Danton, it was France, that sent forth to death the head of the consecrated King, and that built, proud at its side the altar of the goddess Reason.    You too, o homeland! did rise of your deep, servile sleep and you, too, showed the world that laid in pieces the infamous link of your chain. And in your blessed soil, beyond the tall mane of the savage mountain, like a bird of black plumage, the short-lived colony was lost.    So as to keep this divine crest O homeland, we'll march into death. Our luck will be generous if we die while thinking of your love, defending your sacred flag. And many, Honduras, will be your dead wrapped up in your glorious folds, but all will fall with honor. https://lyricstranslate.com",honduras,present
85,hungary,0.125,0.0818,3.0,-20.078,1.0,0.035,0.981,0.887,0.14,0.0398,96.689,audio_features,42JxK4ESuWFUPzqe1AABpW,spotify:track:42JxK4ESuWFUPzqe1AABpW,https://api.spotify.com/v1/tracks/42JxK4ESuWFUPzqe1AABpW,https://api.spotify.com/v1/audio-analysis/42JxK4ESuWFUPzqe1AABpW,83093.0,4.0,,42JxK4ESuWFUPzqe1AABpW,"Hungary: Himnusz (Hymn), ""God Bless the Hungarians with good cheer…"" [Olympic version] [arr. P. Breiner]",Hungary,hungary,#436F4D,#CD2A3E,#FFFFFF,#C1D0C4,#EEB8BF,,Hungary,HU,HUN,Europe,"O Lord, bless the nation of Hungary With your grace and bounty Extend over it your guarding arm During strife with its enemies Long torn by ill fate Bring upon it a time of relief This nation has suffered for all sins Of the past and of the future! You brought our ancestors up Over the Carpathians' holy peaks By You was won a beautiful homeland For Bendeguz's sons And wherever flow the rivers of The Tisza and the Danube ÃƒÂrpÃƒÂ¡d our hero's descendants Will root and bloom For us on the plains of the Kuns You ripened the wheat In the grape fields of Tokaj You dripped sweet nectar Our flag you often planted On the wild Turk's earthworks And under MÃƒÂ¡tyÃƒÂ¡s' grave army whimpered Vienna's ""proud fort."" Ah, but for our sins Anger gathered in Your bosom And You struck with Your lightning From Your thundering clouds Now the plundering Mongols' arrows You swarmed over us Then the Turks' slave yoke We took upon our shoulders. How often came from the mouths Of Osman's barbarian nation Over the corpses of our defeated army A victory song! How often did your own son agress My homeland, upon your breast, And you became because of your own sons Your own sons' funeral urn! The fugitive hid, and towards him The sword reached into his cave Looking everywhere he could not find His home in his homeland Climbs the mountain, descends the valley Sadness and despair his companions Sea of blood beneath his feet Ocean of flame above. Castle stood, now a heap of stones Happiness and joy fluttered, Groans of death, weeping Now sound in their place. And Ah! Freedom does not bloom From the blood of the dead, Torturous slavery's tears fall From the burning eyes of the orphans! Pity, O Lord, the Hungarians Who are tossed by waves of danger Extend over it your guarding arm On the sea of its misery Long torn by ill fate Bring upon it a time of relief They who have suffered for all sins Of the past and of the future! https://lyricstranslate.com",hungary,present
86,iceland,0.167,0.0535,10.0,-23.201,1.0,0.0459,0.985,0.9,0.123,0.0412,128.993,audio_features,32OORRcSQDB9K9d2lrq4Yr,spotify:track:32OORRcSQDB9K9d2lrq4Yr,https://api.spotify.com/v1/tracks/32OORRcSQDB9K9d2lrq4Yr,https://api.spotify.com/v1/audio-analysis/32OORRcSQDB9K9d2lrq4Yr,86787.0,5.0,,32OORRcSQDB9K9d2lrq4Yr,"Iceland: Lofsongur (Song of Praise), ""O God of our land…"" (Olympic version)",Iceland,iceland,#003897,#D72828,#FFFFFF,#EA8C8C,#E05757,#4971B5,Iceland,IS,ISL,Europe,"Our country's God! Our country's God! We worship Thy name in its wonder sublime. The suns of the heavens are set in Thy crown By Thy legions, the ages of time! With Thee is each day as a thousand years, Each thousand of years, but a day, Eternity's flow'r, with its homage of tears, That reverently passes away. Iceland's thousand years, Iceland's thousand years! Eternity's flow'r, with its homage of tears, That reverently passes away. Our God, our God, we bow to Thee, Our spirits most fervent we place in thy care. Lord, God of our fathers from age unto age, We are breathing our holiest prayer. We pray and we thank Thee a thousand years For safely protected we stand; We pray and we bring Thee our homage of tears Our destiny rest in Thy hand. IcelandÃ¢â‚¬â„¢s thousand years, Iceland's thousand years! The hoarfrost of morning which tinted those years, Thy sun rising high, shall command! Our countryÃ¢â‚¬â„¢s God! Our countryÃ¢â‚¬â„¢s God! Our life is a feeble and quivering reed; We perish, deprived of Thy spirit and light To redeem and uphold in our need. Inspire us at morn with Thy courage and love, And lead through the days of our strife! At evening send peace from Thy heaven above, And safeguard our nation through life. IcelandÃ¢â‚¬â„¢s thousand years, Iceland's thousand years! O, prosper our people, diminish our tears And guide, in Thy wisdom, through life!",iceland,present
93,italy,0.519,0.181,10.0,-18.332,1.0,0.0496,0.905,0.898,0.344,0.335,108.05,audio_features,34CP2srPrDwymC15CK34he,spotify:track:34CP2srPrDwymC15CK34he,https://api.spotify.com/v1/tracks/34CP2srPrDwymC15CK34he,https://api.spotify.com/v1/audio-analysis/34CP2srPrDwymC15CK34he,107493.0,4.0,,34CP2srPrDwymC15CK34he,"Italy: Il Canto degli Italiani (The Song of the Italians), ""Italian Brother, Italy has awakened…""",Italy,italy,#FFFFFF,#009246,#CE2B37,,,,Italy,IT,ITA,Europe,"Brothers of Italy, Italy has woken, bound Scipio's helmet Upon her head. Where is Victory? Let her bow down, Because slave of Rome God created her. Let us join in a cohort, we are ready to die. We are ready to die, Italy has called. Let us join in a cohort, We are ready to die. We are ready to die, Italy has called! Yes!",italy,present
99,kenya,0.643,0.0885,9.0,-12.49,0.0,0.0523,0.813,0.969,0.0951,0.578,69.745,audio_features,5b4AFCtBCXQPhv1kZ6n1fA,spotify:track:5b4AFCtBCXQPhv1kZ6n1fA,https://api.spotify.com/v1/tracks/5b4AFCtBCXQPhv1kZ6n1fA,https://api.spotify.com/v1/audio-analysis/5b4AFCtBCXQPhv1kZ6n1fA,78773.0,5.0,,5b4AFCtBCXQPhv1kZ6n1fA,"Kenya: Wimbo Wa Taifa (National Anthem), ""O God of all creation…"" [Olympic version] [arr. P. Breiner]",Kenya,kenya,#000000,#BB0000,#006600,#FFFFFF,#D56262,#E6A6A6,Kenya,KE,KEN,Africa,O God of all creation Bless this our land and nation Justice be our shield and defender May we dwell in unity Peace and liberty Plenty be found within our borders. Let one and all arise With hearts both strong and true Service be our earnest endeavour And our homeland of Kenya Heritage of splendour Firm may we stand to defend. Let all with one accord In common bond united Build this our nation together And the glory of Kenya The fruit of our labour Fill every heart with thanksgiving.,kenya,present
107,latvia,0.216,0.175,7.0,-13.615,1.0,0.0394,0.863,0.903,0.352,0.385,125.028,audio_features,4zgw6IzOyHdYacL1Ru6wex,spotify:track:4zgw6IzOyHdYacL1Ru6wex,https://api.spotify.com/v1/tracks/4zgw6IzOyHdYacL1Ru6wex,https://api.spotify.com/v1/audio-analysis/4zgw6IzOyHdYacL1Ru6wex,66773.0,1.0,,4zgw6IzOyHdYacL1Ru6wex,"Latvia: Latvijas Valsts Himna (Latvian State Anthem), ""Bless Latvia, O God…"" [Olympic version] [arr. P. Breiner]",Latvia,latvia,#9E3039,#FFFFFF,,,,,Latvia,LV,LVA,Europe,"God, bless Latvia! Our beloved fatherland, Bless Latvia, Oh bless it, yet again! Where Latvian daughters bloom, Where Latvian sons sing, Let us dance for joy there, In our Latvia!",latvia,present
